id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
286570,F1 2015,2015.0,61.0,5.0,1.703809523809524,13.37,22.46,36.47,23.1,Realistic|Racing|Automobile Sim|First-Person|Multiplayer|Free to Play|Action|Driving|Controller|Co-op|Sports|Simulation|Singleplayer
581320,Insurgency: Sandstorm,2018.0,78.0,8.0,5.683355721089266,22.38,65.0,800.0,777.62,First-Person|Multiplayer|Action|Military|Atmospheric|Exploration|Tactical|Gore|Co-op|RPG|FPS|Massively Multiplayer|Indie|Shooter|Cult Classic|Singleplayer|Simulation|Realistic|Violent|Online Co-Op|Choices Matter|Difficult|Open World|War
368370,Her Story,2015.0,86.0,8.0,8.63740022805017,2.36,3.22,4.07,1.7100000000000004,Horror|Story Rich|Visual Novel|Crime|Adventure|Exploration|Puzzle|Walking Simulator|Investigation|Psychological Horror|Female Protagonist|Comedy|Detective|Nudity|Typing|Mystery|Casual|Indie|Short|Thriller|Singleplayer|Simulation|Emotional|Choose Your Own Adventure|FMV|Nonlinear|Realistic|Interactive Fiction|Anime|Conversation|Experimental
1129580,Medieval Dynasty,2021.0,73.0,8.0,9.766069546891464,27.28,48.23,108.21,80.92999999999999,First-Person|Historical|Multiplayer|Action|Resource Management|Adventure|Colony Sim|Building|Atmospheric|Exploration|City Builder|Co-op|RPG|Early Access|Crafting|3D|Survival|Singleplayer|Simulation|Realistic|Medieval|Open World|Sandbox
1147550,Not For Broadcast,2022.0,82.0,8.0,17.458823529411763,8.23,10.05,29.51,21.28,Story Rich|First-Person|Dystopian |Adventure|Political|Atmospheric|Political Sim|Management|Early Access|1980s|Multiple Endings|Politics|Indie|Singleplayer|Simulation|Alternate History|Choose Your Own Adventure|FMV|Dark Comedy|Interactive Fiction|Choices Matter
666140,My Time At Portia,2019.0,73.0,8.0,12.099869451697128,68.52,106.12,135.78,67.26,Multiplayer|Adventure|Building|Exploration|Controller|Female Protagonist|RPG|Early Access|Nudity|Relaxing|Post-apocalyptic|Crafting|Mining|Casual|Survival|Indie|Cartoony|Life Sim|Singleplayer|Simulation|Farming Sim|Agriculture|Open World|Sandbox
617830,SUPERHOT VR,2017.0,83.0,8.0,4.750373692077728,1.97,3.13,6.83,4.86,Horror|Hero Shooter|First-Person|Multiplayer|Action|Old School|Adventure|VR|Combat|Physics|Atmospheric|Puzzle|Free to Play|Cyberpunk|Artificial Intelligence|FPS|Mature|Sexual Content|Indie|Short|Retro|Shooter|Singleplayer|Simulation|Bullet Time|Time Manipulation|Violent|Cinematic|Minimalist|Difficult|Sci-fi
837470,Untitled Goose Game,2020.0,79.0,9.0,22.406451612903226,3.01,4.06,5.87,2.8600000000000003,Multiplayer|Action|Adventure|Stealth|Physics|Puzzle|Co-op|Local Co-Op|Local Multiplayer|Comedy|Villain Protagonist|Funny|Indie|Singleplayer|Simulation|Colorful|Cute|Third Person|Family Friendly|Sandbox
298260,Only If,2014.0,39.0,5.0,1.6864864864864866,1.76,2.23,2.55,0.7899999999999998,Horror|First-Person|Zombies|Multiplayer|Action|Adventure|Atmospheric|Puzzle|Free to Play|Walking Simulator|Surreal|Co-op|Comedy|FPS|Funny|Casual|Survival|Indie|Simulation|Singleplayer|Open World
972660,Spiritfarer®: Farewell Edition,2020.0,84.0,9.0,22.1409691629956,25.1,31.77,41.13,16.03,Story Rich|Adventure|Platformer|Building|Atmospheric|Exploration|Management|Co-op|Local Co-Op|Female Protagonist|Relaxing|Crafting|Funny|Indie|Cartoony|Simulation|Emotional|Farming Sim|Hand-drawn|Fishing
241540,State of Decay,2013.0,79.0,8.0,5.4399415845198975,15.66,21.7,36.94,21.28,Horror|Zombies|Multiplayer|Action|Adventure|Atmospheric|Exploration|Co-op|Third-Person Shooter|RPG|Post-apocalyptic|Survival Horror|Survival|Indie|Singleplayer|Simulation|Third Person|Open World|Sandbox
751780,Forager,2019.0,78.0,8.0,9.506317689530686,14.98,23.5,37.86,22.88,Multiplayer|Action|Pixel Graphics|Resource Management|Adventure|Building|Exploration|RPG|Open World|Crafting|Clicker|Casual|Survival|Indie|Singleplayer|Simulation|Farming Sim|Open World Survival Craft|Agriculture|2D|Great Soundtrack|Sandbox
72200,Universe Sandbox Legacy,2011.0,83.0,8.0,4.274864376130199,5.84,25.71,1544.07,1538.23,Horror|Space Sim|Multiplayer|Action|VR|Physics|Atmospheric|Exploration|Free to Play|Science|Destruction|God Game|Funny|Casual|Indie|Epic|Singleplayer|Simulation|Space|Education|Sandbox|Sci-fi
